id|Nationality|Nationality_Region|Nationality_IncomeGroup|aff_country|aff_country_Region|aff_country_IncomeGroup|Gender|Citations|Productivity|Degree
ur.010261230331.54|FR|Europe & Central Asia|High income|United States|North America|High income|female|2382|1|4
ur.07604315161.17|CH|Europe & Central Asia|High income|United Kingdom|Europe & Central Asia|High income|male|2379|1|0
ur.01073566020.13|AU|East Asia & Pacific|High income|United States|North America|High income|male|2374|1|2
ur.012272344253.61|GE|Europe & Central Asia|Upper middle income|United States|North America|High income|male|2372|1|2
ur.011447253057.88|IT|Europe & Central Asia|High income|United States|North America|High income|male|2372|1|2
ur.0735044016.08|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.01051272416.15|AT|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.016071402271.07|IL|Middle East & North Africa|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.01301747416.99|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.0624456516.02|AT|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.01172632521.40|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.01136654745.93|CN|East Asia & Pacific|Upper middle income|Germany|Europe & Central Asia|High income|male|2371|1|6
ur.0763244404.65|LB|Middle East & North Africa|Lower middle income|United Kingdom|Europe & Central Asia|High income||2368|1|6
ur.01064146320.53|PL|Europe & Central Asia|High income|United States|North America|High income||2368|1|6
ur.01210175023.62|KR|East Asia & Pacific|High income|United States|North America|High income||2365|1|1
ur.015064115070.41|US|North America|High income||||male|2365|1|0
ur.016565200001.54|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2364|1|0
ur.01207527012.76|ZA|Sub-Saharan Africa|Upper middle income|United States|North America|High income||2364|1|3
ur.010306464131.45|AT|Europe & Central Asia|High income|United States|North America|High income||2364|1|3
ur.013363431105.25|US|North America|High income|United States|North America|High income||2364|1|3
ur.013450040411.81|DK|Europe & Central Asia|High income|United States|North America|High income||2364|1|3
ur.0676361211.90|CH|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2358|1|2
ur.01126113530.92|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2358|1|2
ur.012354464575.45|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2358|1|2
ur.010302365420.01|CA|North America|High income|United States|North America|High income|male|2354|1|4
ur.012576376771.88|DE|Europe & Central Asia|High income|United States|North America|High income||2354|1|4
ur.011306133613.73|IE|Europe & Central Asia|High income|United States|North America|High income|male|2354|1|4
ur.01061005060.28|DE|Europe & Central Asia|High income|United States|North America|High income|male|2354|1|4
ur.012547452644.37|GR|Europe & Central Asia|High income|United States|North America|High income|male|4402|2|8
ur.07503553603.65|BE|Europe & Central Asia|High income|Belgium|Europe & Central Asia|High income|male|2354|1|2
ur.011641731043.92|LV|Europe & Central Asia|High income|Belgium|Europe & Central Asia|High income|male|2354|1|2
ur.012626535667.20|NZ|East Asia & Pacific|High income|United States|North America|High income|male|2354|1|2
ur.011056221175.62||||United States|North America|High income|male|2354|1|0
ur.01057707500.19|RU|Europe & Central Asia|Upper middle income|United States|North America|High income|male|2345|1|1
ur.0755572020.37|DK|Europe & Central Asia|High income|Norway|Europe & Central Asia|High income||2345|1|1
ur.0776746374.63|FR|Europe & Central Asia|High income|France|Europe & Central Asia|High income|female|2343|1|0
ur.01117631013.29|FR|Europe & Central Asia|High income|Switzerland|Europe & Central Asia|High income|male|2342|1|0
ur.01174312056.32|CN|East Asia & Pacific|Upper middle income|United States|North America|High income||4368|2|8
ur.01301470055.13|CN|East Asia & Pacific|Upper middle income|China|East Asia & Pacific|Upper middle income||2340|1|4
ur.01107670715.58|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|2340|1|4
ur.0752303161.81|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|2340|1|4
ur.01242425256.87|CI|Sub-Saharan Africa|Lower middle income|China|East Asia & Pacific|Upper middle income|male|4368|2|8
ur.014644244571.09|LU|Europe & Central Asia|High income|Switzerland|Europe & Central Asia|High income||2336|1|0
ur.013335553314.08|MQ||||||male|2331|1|1
ur.016644550132.58|DE|Europe & Central Asia|High income||||male|2331|1|1
ur.016346051165.47|NZ|East Asia & Pacific|High income|United States|North America|High income||2328|1|1
ur.013426262365.94|IL|Middle East & North Africa|High income|United States|North America|High income|male|2328|1|1
ur.010102712452.51|IT|Europe & Central Asia|High income|Italy|Europe & Central Asia|High income|male|2327|1|2
ur.01003736510.42|IT|Europe & Central Asia|High income|Italy|Europe & Central Asia|High income|male|2327|1|2
ur.0672712421.97|RO|Europe & Central Asia|High income|Canada|North America|High income|female|2326|1|2
ur.01063604720.21|VE|Latin America & Caribbean||Canada|North America|High income|male|2326|1|2
ur.01055254221.94|IE|Europe & Central Asia|High income|Canada|North America|High income|male|2326|1|2
ur.01116525244.13|GB|Europe & Central Asia|High income|United Kingdom|Europe & Central Asia|High income|male|2326|1|0
ur.07640220553.65|BE|Europe & Central Asia|High income|Netherlands|Europe & Central Asia|High income|male|2324|1|4
ur.015717267237.82|IL|Middle East & North Africa|High income|United States|North America|High income|male|2320|1|0
ur.01325107411.12|DE|Europe & Central Asia|High income|France|Europe & Central Asia|High income||2318|1|2
ur.0623436476.12|AU|East Asia & Pacific|High income|Switzerland|Europe & Central Asia|High income||2318|1|2
ur.013537320410.67|IL|Middle East & North Africa|High income|United States|North America|High income||2318|1|2
ur.01060202534.02|US|North America|High income|United States|North America|High income||4427|2|2
ur.010336025557.09|GB|Europe & Central Asia|High income|United States|North America|High income|male|2315|1|2
ur.01240545576.43|LB|Middle East & North Africa|Lower middle income|United States|North America|High income||2309|1|5
ur.0775446106.53|HU|Europe & Central Asia|High income|United States|North America|High income||5831|2|8
ur.014732510515.04|DE|Europe & Central Asia|High income|Hungary|Europe & Central Asia|High income||2309|1|5
ur.014132154403.53|EG|Middle East & North Africa|Lower middle income|United States|North America|High income|male|2307|1|2
ur.01330562567.39|US|North America|High income|United States|North America|High income|male|2306|1|3
ur.0671373524.97|US|North America|High income|United States|North America|High income|male|2304|1|1
ur.0575372667.20|DE|Europe & Central Asia|High income|United States|North America|High income|male|2304|1|1
ur.016063420215.35|LI|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2303|1|2
ur.0642270021.17|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2302|1|3
ur.0713625342.83|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2302|1|3
ur.01163345507.63|KR|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income||2302|1|3
ur.01024631621.47|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income|male|2302|1|3
ur.011267653515.48|CZ|Europe & Central Asia|High income|United States|North America|High income|male|2296|1|0
ur.055412044.38|DE|Europe & Central Asia|High income|United States|North America|High income|female|2290|1|0
ur.013344643731.07|GT|Latin America & Caribbean|Upper middle income|Germany|Europe & Central Asia|High income|male|2289|1|0
ur.07523734507.66|US|North America|High income|United States|North America|High income||2287|1|0
ur.016003517437.29|TR|Europe & Central Asia|Upper middle income|United States|North America|High income|male|2285|1|8
ur.010271056102.43|MQ|||United States|North America|High income|male|2285|1|8
